Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Banks Appearing,Main Bank,Avg Rank,Revenue Billion
open savings account,USD,50,900%,900%,Low,2,0,"UBA, FBN, Standard Chartered, GTB, Kuda, Access Bank, Stanbic IBTC, Unity Bank, Union Bank, Stanbic IBTC Holdings",UBA,1,1204
savings account nigeria,USD,50,0%,0%,Low,7,0,"Standard Chartered, GTB, FBN, Kuda, Access Bank, Stanbic IBTC, Unity Bank, Union Bank, Stanbic IBTC Holdings, UBA,  ",FBN,2,1156
personal loans nigeria,USD,500,0%,0%,Low,29,0.04,"Unity Bank, Union Bank, Standard Chartered, Stanbic IBTC Holdings, UBA, FBN,  GTB, Kuda, Access Bank, Stanbic IBTC, ",Standard Chartered ,3,1948
open savings account online,USD,50,0%,0%,Low,22,0.16,"Kuda,  GTB, Access Bank, Stanbic IBTC, Unity Bank, Union Bank, Stanbic IBTC Holdings, UBA, FBN, Standard Chartered,",GTB,2,1089
bank account for kids,USD,50,0%,-90%,Low,8,0.16,"Access Bank, Stanbic IBTC, Unity Bank,  Kuda, Union Bank, Stanbic IBTC Holdings, UBA, FBN, Standard Chartered, GTB,",Kuda,4,1056
best loan app in nigeria,USD,50000,0%,0%,High,69,0.13,"UBA, FBN, Standard Chartered, GTB, Kuda, Access Bank, Stanbic IBTC, Unity Bank, Union Bank, Stanbic IBTC Holdings",Access,6,1381
joint bank account online,USD,50,0%,0%,Low,0,0," FBN, Stanbic IBTC, Standard Chartered, GTB, Kuda, Access Bank,  Unity Bank, Union Bank, Stanbic IBTC Holdings, UBA,",Stanbic IBTC,2,1108
under 18 bank account apply online,USD,50,0%,0%,Low,0,0,"Stanbic IBTC, Unity Bank, Union Bank, Stanbic IBTC Holdings, UBA, FBN, Standard Chartered, GTB, Kuda, Access Bank, ",Unity Bank,2,1059
best bank to open a savings account,USD,50,0%,0%,Low,0,0," Union Bank, Stanbic IBTC Holdings, UBA, FBN, Standard Chartered, GTB, Kuda, Access Bank, Stanbic IBTC, Unity Bank,",Union Bank,1,1393
open a high yield savings account,USD,50,-100%,-100%,Unknown,0,0,"Standard Chartered,  Stanbic IBTC Holdings, GTB, Kuda, Access Bank, Stanbic IBTC, Unity Bank, Union Bank, UBA, FBN, ",Stanbic IBTC Holdings,2,1043.9
